android/tuningfork	Android Performance Tuner is a library to help developers measure frame rendering time across different devices and game stages. This plugin will help developers integrate Android Performance Tuner into their game.	public	2023-02-17T11:12:44Z
android/codelab-handling-back-navigation		public	2023-01-19T17:22:42Z
android/android-studio-poet	Large Android projects generator	public	2022-12-15T14:22:20Z
android/renderscript-intrinsics-replacement-toolkit		public	2022-12-14T12:45:15Z
android/.allstar		public	2022-12-06T23:02:41Z
android/codelab-android-accessibility	Basic Android Accessibility: making sure everyone can use what you create!	public	2022-11-22T18:14:14Z
android/project-replicator	This project contains a Gradle plugin and a small command-line app that allows replicating the structure of a given Gradle project.	public	2022-11-03T16:19:17Z
android/trackr		public	2022-11-01T17:34:37Z
android/codelab-android-camera2-preview		public	2022-10-27T09:25:23Z
android/android-dev-challenge-compose	Template repository for the ADS22 Speed Challenge	public	2022-10-25T16:56:16Z
android/codelab-android-hilt		public	2022-10-06T09:20:34Z
android/codelab-wear-tiles		public	2022-09-07T13:55:45Z
android/codelab-android-workmanager		public	2022-09-02T23:04:22Z
android/codelab-cronet-basics	This repository contains the starting point and solution to the Cronet Basics Android codelab.	public	2022-06-29T15:53:57Z
android/codelab-android-wavemaker	Sample app which accompanies the "Making Waves" codelab - Part 1 Build a Synthesizer	public, archived	2022-04-19T14:55:27Z
android/add-adaptive-layouts		public	2022-04-18T11:31:47Z
android/codelab-while-in-use-location	Codelab:	public, archived	2022-04-13T16:33:35Z
android/codelab-kotlin-coroutines	Kotlin Coroutines codelab	public, archived	2022-04-07T00:39:16Z
android/codelab-slices-basic-codelab		public, archived	2022-04-06T21:50:03Z
android/codelab-android-people		public, archived	2022-03-13T13:39:07Z
android/neural-networks-samples		public	2022-03-09T19:59:17Z
android/codelab-activity_transitionapi	Codelab walks you through tracking activity transition changes (start/stop run, walk, idle, drive, etc.).	public, archived	2022-03-09T18:32:02Z
android/codelab-android-dagger-to-hilt		public, archived	2022-03-08T00:48:17Z
android/codelab-android-gestural-navigation		public, archived	2022-03-07T20:57:29Z
android/codelab-android-lifecycles		public, archived	2022-02-16T00:58:09Z
android/codelab-android-navigation		public, archived	2022-02-16T00:19:04Z
android/codelab-constraint-layout	Constraint Layout Codelab	public, archived	2022-02-13T10:45:16Z
android/codelab-android-databinding		public, archived	2022-02-10T10:06:56Z
android/codelab-biometric-login		public, archived	2022-02-05T00:21:27Z
android/codelab-android-wavemaker2	The Making Waves Part 2 codelab shows you how to build a low latency, touch controlled sampler app using the AAudio API in Android O.	public, archived	2022-02-01T19:07:17Z
android/codelab-android-foldable		public, archived	2022-01-26T18:14:29Z
android/codelab-android-direct-share		public, archived	2022-01-20T08:09:55Z
android/codelab-android-network-security-config	Android Network Security Configuration codelab	public, archived	2022-01-13T22:53:34Z
android/codelab-android-dynamic-features		public	2022-01-11T14:43:50Z
android/codelab-complications-data-source	Exposing data to watch face Complications on Android Wear	public, archived	2021-12-01T20:28:40Z
